symbol,timestamp,close,change_pct
DXY,2026-09-24 04:00:00+00:00,101.081001281738,
DXY,2026-09-24 05:00:00+00:00,101.167999267578,0.0860675940450554
DXY,2026-09-24 06:00:00+00:00,101.113998413086,-0.0533774067720379
DXY,2026-09-24 07:00:00+00:00,101.063003540039,-0.0504330496738376
DXY,2026-09-24 08:00:00+00:00,101.165000915527,0.100924544012658
DXY,2026-09-24 09:00:00+00:00,101.217002868652,0.0514031064640839
DXY,2026-09-24 10:00:00+00:00,101.233001708984,0.0158064750769124
DXY,2026-09-24 11:00:00+00:00,101.27799987793,0.0444500984715135
DXY,2026-09-24 12:00:00+00:00,101.231002807617,-0.0464040269052959
DXY,2026-09-24 13:00:00+00:00,101.253997802734,0.0227153682957068
DXY,2026-09-24 14:00:00+00:00,101.291000366211,0.0365442987729253
DXY,2026-09-24 15:00:00+00:00,101.314002990723,0.0227094454873131
DXY,2026-09-24 16:00:00+00:00,101.231002807617,-0.0819237031953708
DXY,2026-09-24 17:00:00+00:00,101.323997497559,0.0918638434493596
DXY,2026-09-24 18:00:00+00:00,101.285003662109,-0.0384843042243357
DXY,2026-09-24 19:00:00+00:00,101.263000488281,-0.0217240193834898
DXY,2026-09-24 20:00:00+00:00,101.241996765137,-0.0207417546816242
DXY,2026-09-24 21:00:00+00:00,101.26000213623,0.0177844883240689
DXY,2026-09-24 22:00:00+00:00,101.248001098633,-0.011851705850757
DXY,2026-09-24 23:00:00+00:00,101.296997070312,0.0483920385074635
DXY,2026-09-25 00:00:00+00:00,101.264999389648,-0.0315879854186124
DXY,2026-09-25 01:00:00+00:00,101.26000213623,-0.00493482787546393
DXY,2026-09-25 02:00:00+00:00,101.269996643066,0.00987014282548736
DXY,2026-09-25 03:00:00+00:00,101.276000976562,0.00592903495124668
DXY,2026-09-25 04:00:00+00:00,101.278999328613,0.00296057508380009
DXY,2026-09-25 05:00:00+00:00,101.231002807617,-0.0473903981222826
DXY,2026-09-25 06:00:00+00:00,101.148002624512,-0.0819908731549416
DXY,2026-09-25 07:00:00+00:00,101.121002197266,-0.0266939796590216
DXY,2026-09-25 08:00:00+00:00,101.111000061035,-0.00989125504408738
DXY,2026-09-25 09:00:00+00:00,101.105003356934,-0.00593081276808915
DXY,2026-09-25 10:00:00+00:00,101.049003601074,-0.0553877196973899
DXY,2026-09-25 11:00:00+00:00,100.994003295898,-0.0544293394449627
DXY,2026-09-25 12:00:00+00:00,100.982002258301,-0.01188292097155
DXY,2026-09-25 13:00:00+00:00,100.944999694824,-0.0366427310303415
DXY,2026-09-25 14:00:00+00:00,100.956001281738,0.01089859522247
DXY,2026-09-25 14:09:11+00:00,100.959999084473,-0.00693670603335498
DXY,2026-09-25 14:17:06+00:00,100.964996337891,-0.00297716244380606
DXY,2026-09-25 15:00:00+00:00,100.971000671387,0.0148573531617785
DXY,2026-09-25 15:10:25+00:00,101.024002075195,-0.00296787199273574
